portfolio_id,return
PF00001001,0.02628570795059204
PF00001004,0.0243222713470459
PF00001009,0.024363309144973755
PF00001013,0.025147706270217896
PF00001014,0.023261576890945435
PF00001015,0.026383966207504272
PF00001017,0.02309364080429077
PF00001023,0.02452370524406433
PF00001024,0.024938493967056274
PF00001025,0.04977846145629883
PF00001028,0.027159422636032104
PF00001032,0.024363309144973755
PF00001036,0.02450460195541382
PF00001041,0.026397675275802612
PF00001045,0.023896068334579468
PF00001047,0.024370640516281128
PF00001049,0.023983299732208252
PF00001053,0.04977846145629883
PF00001060,0.022868692874908447
PF00001067,0.024267613887786865
PF00001068,0.02553418278694153
PF00001069,0.02559494972229004
PF00001077,0.025657951831817627
PF00001078,0.026373356580734253
PF00001085,0.021811068058013916
PF00001086,0.049701809883117676
PF00001087,0.025783270597457886
PF00001088,0.027705729007720947
PF00001092,0.02535375952720642
PF00001095,0.02374604344367981
PF00001099,0.025813192129135132
PF00001100,0.025813192129135132
PF00001104,0.024524182081222534
PF00001105,0.02499750256538391
PF00001107,0.026459336280822754
PF00001108,0.0513538122177124
PF00001112,0.026790082454681396
PF00001119,0.023298650979995728
PF00001123,0.02362683415412903
PF00001126,0.02494075894355774
PF00001132,0.026613324880599976
PF00001135,0.02695891261100769
PF00001145,0.02761790156364441
PF00001148,0.02766689658164978
PF00001153,0.025791555643081665
PF00001155,0.05179968476295471
PF00001161,0.02520611882209778
PF00001164,0.025783687829971313
PF00001165,0.026506394147872925
PF00001171,0.0559411346912384
PF00001178,0.025268137454986572
PF00001179,0.029059618711471558
PF00001180,0.056667834520339966
PF00001194,0.024089336395263672
PF00001199,0.025252491235733032
PF00001198,0.02744540572166443
PF00001203,0.024244219064712524
PF00001204,0.026701301336288452
PF00001209,0.0559411346912384
PF00001210,0.025882810354232788
PF00001218,0.025670021772384644
PF00001220,0.025179564952850342
PF00001223,0.025891512632369995
PF00001225,0.025874942541122437
PF00001227,0.024171292781829834
PF00001230,0.0559411346912384
PF00001233,0.025670021772384644
PF00001236,0.02557876706123352
PF00001238,0.02557876706123352
PF00001239,0.054838716983795166
PF00001241,0.05428946018218994
PF00001243,0.025791555643081665
PF00001244,0.027658194303512573
PF00001245,0.05061459541320801
PF00001253,0.025800257921218872
PF00001255,0.02648523449897766
PF00001258,0.025401026010513306
PF00001260,0.02593177556991577
PF00001262,0.02593177556991577
PF00001264,0.02520611882209778
PF00001265,0.02602452039718628
PF00001270,0.05115532875061035
PF00001274,0.02401641011238098
PF00001277,0.02544894814491272
PF00001282,0.02585655450820923
PF00001283,0.02706238627433777
PF00001285,0.02576124668121338
PF00001288,0.026023894548416138
PF00001290,0.0261060893535614
PF00001294,0.026073962450027466
PF00001296,0.025319010019302368
PF00001303,0.02609822154045105
PF00001305,0.025893300771713257
PF00001306,0.025893300771713257
PF00001309,0.025844722986221313
PF00001310,0.025790482759475708
PF00001312,0.026246309280395508
PF00001313,0.05300554633140564
PF00001316,0.02587437629699707
PF00001319,0.025982707738876343
PF00001324,0.025790482759475708
PF00001325,0.02546277642250061
PF00001331,0.02546548843383789
PF00001333,0.05622357130050659
PF00001334,0.02558097243309021
PF00001335,0.02601483464241028
PF00001340,0.025227755308151245
PF00001345,0.02650916576385498
PF00001348,0.056008100509643555
PF00001352,0.025802046060562134
PF00001354,0.026023536920547485
PF00001355,0.04919496178627014
PF00001356,0.04939737915992737
PF00001368,0.0297374427318573
PF00001370,0.0276375412940979
PF00001372,0.027820706367492676
PF00001375,0.029821336269378662
PF00001382,0.03263437747955322
PF00001384,0.028131335973739624
PF00001388,0.0282285213470459
PF00001389,0.02857533097267151
PF00001391,0.029281437397003174
PF00001412,0.03631448745727539
PF00001419,0.0513538122177124
PF00001424,0.028941482305526733
